"Title","Year","Directors"
"The Woman in Black",2012,"James Watkins"
"Hoshi no Koe",2002,"Makoto Shinkai"
"Final Fantasy VII : Last Order",2005,"Morio Asaka"
"I Melt with You",2011,"Mark Pellington"
"The Adventures of Buckaroo Banzai across the 8th dimension",1984,"W.D. Richter"
"Furious",1984,"Tim Everitt"
"Le Pacte des loups",2001,"Christophe Gans"
"Scoop",2006,"Woody Allen"
"Manhattan",1979,"Woody Allen"
"Sinbad: soratobu hime to himitsu no shima Part 1",2015,"Shinpei Miyashita"
"屍者の帝国",2016,"Ryôtarô Makihara"
"Gyakusatsu Kikan",2017,"Shukou Murase"
"Hâmonî",2016,"Michael Arias, Takashi Nakamura"
"Mutafukaz",2018,"Shōjirō Nishimi, Run"
"Deddo Rībusu",2004,"Hiroyuki Imaishi"
"Sowon",2013,"Lee Joon-Ik"
"Idi i smotri",1985,"Elem Klimov"
"Wandafuru Raifu",1999,"Hirokazu Kore-eda"
"Les Patriotes",1994,"Eric Rochant"
"Animal Kingdom",2010,"David Michôd"
"Xing kong",2011,"Tom Lin"
"Four Lions",2010,"Chris Morris"
"Kkeutkkaji Ganda",2014,"Kim Sung-Hoon"
"Rain Man",1988,"Barry Levinson"
"Maria Full of Grace",2004,"Joshua Marston"
"Exiled",2006,"Johnnie To, Law Wing-Cheong"
"The Frame",2014,"Jamin Winans"
"Wonderstruck",2017,"Todd Haynes"
"The Cloverfield Paradox",2018,"Julius Onah"
"Inrang",2018,"Kim Jee-Woon"
"The Night Comes for Us",2018,"Timo Tjahjanto"
"Kurîpî: Itsuwari no rinjin",2017,"Kiyoshi Kurosawa"
"Cuisine et Dépendances",1993,"Philippe Muyl"
"Être et avoir",2002,"Nicolas Philibert"
"Blow",2001,"Ted Demme"
"Lilo and Stitch",2002,"Chris Sanders, Dean Deblois"
"Milk",2009,"Gus Van Sant"
"Vergiss mein nicht",2013,"David Sieveking"
"The Big Short",2015,"Adam McKay"
"Rashômon",1950,"Akira Kurosawa"
"The Deer Hunter",1978,"Michael Cimino"
"Ran",1985,"Akira Kurosawa"
"Code Geass: Fukkatsu no Lelouch",2019,""
"Raiders of the Lost Ark",1981,"Steven Spielberg"
"Gummo",1997,"Harmony Korine"
"L'Enfer",1994,"Claude Chabrol"
"The Lobster",2015,"Yorgos Lanthimos"
"La Petite Lili",2003,"Claude Miller"
"Les Enfants du marais",1999,"Jean Becker"
"Fantasia",1940,"James Algar, Samuel Armstrong, Ford Beebe"
"12 Angry Men",1957,"Sidney Lumet"
"Mune, le gardien de la lune",2014,"Benoît Philippon, Alexandre Heboyan"
"Zombieland 2",2019,"Ruben Fleischer"
"Miss Peregrine's Home for Peculiar Children",2016,"Tim Burton"
"La Tortue rouge",2016,"Michael Dudok de Wit"
"Mystic River",2003,"Clint Eastwood"
"Alita : Battle Angel",2019,"Robert Rodriguez"
"Ben-Hur",2016,"Timur Bekmambetov"
"Unforgiven",1992,"Clint Eastwood"
"Tenshi no Tamago",1985,"Mamoru Oshii"
"Valhalla Rising",2010,"Nicolas Winding Refn"
"Oseam",2004,"Sung Baek-Yeop"
"Kotonoha no Niwa",2013,"Makoto Shinkai"
"Elizabeth",1998,"Shekhar Kapur"
"La Piscine",1969,"Jacques Deray"
"Le voyage au Groenland",2016,"Sébastien Betbeder"
"Is the Man Who Is Tall Happy ? : An Animated Conversation with Noam Chomsky",2013,"Michel Gondry"
"An",2016,"Naomi Kawase"
"Dead Slow Ahead",2016,"Mauro Herce"
"Le Secret de la chambre noire",2017,"Kiyoshi Kurosawa"
"Poesía sin fin",2016,"Alejandro Jodorowsky"
"Vincent n'a pas d'écailles",2014,"Thomas Salvador"
"Zatôichi",2003,"Takeshi Kitano"
"Uma História de Amor e Fúria",2013,"Luiz Bolognesi"
"What's Eating Gilbert Grape",1994,"Lasse Hallström"
"Adam and Dog",2012,"Lee Minkyu"
"The VVitch: A New-England Folktale",2016,"Robert Eggers"
"Blow-Up",1966,"Michelangelo Antonioni"
"Koroshiya 1",2001,"Takashi Miike"
"Velvet Goldmine",1998,"Todd Haynes"
"Addams Family Values",1993,"Barry Sonnenfeld"
"The Hitchhiker's Guide to the Galaxy",2005,"Garth Jennings"
"The Evil Dead",1981,"Sam Raimi"
"Mommy",2014,"Xavier Dolan"
"Nanjing! Nanjing!",2009,"Lu Chuan"
"Noriko no shokutaku",2006,"Sion Sono"
"Into the Wild",2007,"Sean Penn"
"Falling Down",1993,"Joel Schumacher"
"Rupan sansei: Kariosutoro no shiro",1979,"Hayao Miyazaki"
"Merry Christmas, Mr Lawrence",1983,"Nagisa Ôshima"
"Mænd & høns",2016,"Anders Thomas Jensen"
"Tasogare Seibei",2002,"Yôji Yamada"
"Sweet Sixteen",2002,"Ken Loach"
"Road to Perdition",2002,"Sam Mendes"
"Mou gaan dou",2002,"Andrew Lau, Alan Mak"
"Hable Con Ella",2002,"Pedro Almodovar"
"The Life Aquatic With Steve Zissou",2004,"Wes Anderson"
"Down by Law",1986,"Jim Jarmusch"
"Miller's Crossing",1990,"Joel Coen"
"Message from the King",2017,"Fabrice Du Welz"
"Knight of Cups",2015,"Terrence Malick"
"Umi yori mo Mada Fukaku",2017,"Hirokazu Kore-eda"
"The Warriors",1979,"Walter Hill"
"Fences",2017,"Denzel Washington"
"Netherland Dwarf",2008,"David Michôd"
"War Machine",2017,"David Michôd"
"リンダ リンダ リンダ",2005,"Nobuhiro Yamashita"
